moves,label
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",1
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'DeterministicBestRepairStation', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'ProbabilisticBestRepairStation', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'ProbabilisticBestRepairStation', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['null', 'null', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'DeterministicBestRepairStation', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ShawDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyRouteRemoval', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'DeterministicBestRepairStation', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProximityBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['RandomDestroyStation', 'ProbabilisticBestRepairStation', 'WorstTimeDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'DemandBasedDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'RandomRouteDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'GreedyDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'ProbabilisticWorstRemovalCustomer', 'GreedyRepairCustomer']",0
"['LongestWaitingTimeDestroyStation', 'ProbabilisticBestRepairStation', 'ZoneDestroyCustomer', 'GreedyRepairCustomer']",0
"['null', 'null', 'WorstDistanceDestroyCustomer', 'GreedyRepairCustomer']",1
"['null', 'null', 'TimeBasedDestroyCustomer', 'GreedyRepairCustomer']",0
